Name                       Version                         Rev    Tracking         Publisher    Notes
bare                       1.0                             5      latest/stable    canonical**  base
code                       1b50d58d                        247    latest/stable    vscode**     classic
core                       16-2.61.4-20260225              17292  latest/stable    canonical**  core
core20                     20260410                        2866   latest/stable    canonical**  base
core22                     20260225                        2411   latest/stable    canonical**  base
core24                     20260410                        1643   latest/stable    canonical**  base
firefox                    153.0.4-1                       8754   latest/stable/…  mozilla**    -
gnome-3-26-1604            3.26.0.20221130                 111    latest/stable    canonical**  -
gnome-42-2204              0+git.c1d3d69-sdk0+git.015db9a  247    latest/stable/…  canonical**  -
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164    latest/stable    canonical**  -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**  -
mesa-2404                  25.2.8-snap278                  1781   latest/stable    canonical**  -
odrive                     latest                          96     latest/edge      bill-666     -
snap-store                 41.3-72-g80e7130                1216   latest/stable/…  canonical**  -
snapd                      2.76.2                          27710  latest/stable    canonical**  snapd
snapd-desktop-integration  0.9                             387    latest/stable/…  canonical**  -
tree                       2.1.3+pkg-5852                  54     latest/stable    brlin        -
